,name,airport,latitude,longitude
0,all,all,0,0
0,William B Hartsfield-Atlanta Intl,ATL,33.6367,-84.428101
1,Austin-Bergstrom International,AUS,30.29872235,-97.69978523
2,Nashville International,BNA,36.12450027,-86.67819977
3,Gen Edw L Logan Intl,BOS,42.36429977,-71.00520325
4,Baltimore-Washington International,BWI,39.1754,-76.668297
5,Cleveland-Hopkins Intl,CLE,41.4117012,-81.84980011
6,Charlotte/Douglas International,CLT,35.2140007,-80.94309998
7,Port Columbus Intl,CMH,39.998001,-82.891899
8,Cincinnati Northern Kentucky Intl,CVG,39.04880142,-84.6678009
9,Dallas Love,DAL,32.847099,-96.851799
10,Ronald Reagan Washington National,DCA,38.8521,-77.037697
11,Denver Intl,DEN,39.86169815,-104.6729965
12,Dallas-Fort Worth International,DFW,32.896801,-97.038002
13,Detroit Metropolitan-Wayne County,DTW,42.21239853,-83.35340118
14,Newark Intl,EWR,40.69250107,-74.16870117
15,Fort Lauderdale-Hollywood Int'l,FLL,26.072599,-80.152702
16,William P Hobby,HOU,29.64539909,-95.27890015
17,Washington Dulles International,IAD,38.94449997,-77.45580292
18,George Bush Intercontinental,IAH,29.9843998,-95.34140015
19,Indianapolis International,IND,39.7173,-86.294403
20,Jacksonville International,JAX,30.49410057,-81.68789673
21,John F Kennedy Intl,JFK,40.63980103,-73.77890015
22,McCarran International,LAS,36.08010101,-115.1520004
23,Los Angeles International,LAX,33.94250107,-118.4079971
24,LaGuardia,LGA,40.77719879,-73.87259674
25,Kansas City International,MCI,39.2976,-94.713898
26,Orlando International,MCO,28.42939949,-81.30899811
27,Chicago Midway,MDW,41.785999,-87.752403
28,Miami International,MIA,25.79319954,-80.29060364
29,General Mitchell International,MKE,42.94720078,-87.89659882
30,Minneapolis-St Paul Intl,MSP,44.882,-93.221802
31,New Orleans International,MSY,29.99340057,-90.25800323
32,Metropolitan Oakland International,OAK,37.721298,-122.221001
33,Chicago O'Hare International,ORD,41.9786,-87.9048
34,Portland Intl,PDX,45.58869934,-122.5979996
35,Philadelphia Intl,PHL,39.87189865,-75.2410965
36,Phoenix Sky Harbor International,PHX,33.43429947,-112.012001
37,Pittsburgh International,PIT,40.49150085,-80.23290253
38,Raleigh-Durham International,RDU,35.87760162,-78.78749847
39,San Diego International-Lindbergh,SAN,32.73360062,-117.1900024
40,San Antonio International,SAT,29.53370094,-98.46980286
41,Seattle-Tacoma Intl,SEA,47.449001,-122.308998
42,San Francisco International,SFO,37.61899948,-122.375
43,San Jose International,SJC,37.362598,-121.929001
44,Salt Lake City Intl,SLC,40.78839874,-111.9779968
45,Sacramento International,SMF,38.69540024,-121.5910034
46,John Wayne /Orange Co,SNA,33.67570114,-117.8679962
47,Lambert-St Louis International,STL,38.748697,-90.370003
48,Tampa International,TPA,27.97550011,-82.53320313
